station,time,dis,max_dt_3days,district,flood,thres_discharge,predicted
G5171,2003-06-19,549.83295,720.1566772460938,turkana,0.0,0.0,1
G5171,2003-06-20,582.266,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-21,535.39764,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-22,720.1567,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-23,817.29266,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-24,614.2304,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-25,410.0217,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-26,280.45657,817.2926635742188,turkana,0.0,0.0,1
G5171,2003-06-27,203.19553,614.2304077148438,turkana,0.0,0.0,1
G5171,2003-06-28,171.69499,410.0216979980469,turkana,0.0,0.0,1
G5171,2003-06-29,247.75258,487.87261962890625,turkana,0.0,0.0,1
G5171,2003-06-30,364.6439,504.6698913574219,turkana,0.0,0.0,1
G5171,2003-07-01,383.02097,504.6698913574219,turkana,0.0,0.0,1
G5171,2003-07-02,487.87262,559.6835327148438,turkana,0.0,0.0,1
G5171,2003-07-03,504.6699,624.4991455078125,turkana,0.0,0.0,1
G5171,2003-07-04,451.9897,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-05,559.68353,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-06,624.49915,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-07,703.3914,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-08,617.0082,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-09,504.35303,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-10,480.945,703.3914184570312,turkana,0.0,0.0,1
G5171,2003-07-11,457.67233,617.0081787109375,turkana,0.0,0.0,1
G5171,2003-07-12,405.5911,504.35302734375,turkana,0.0,0.0,1
G5171,2003-07-13,342.50684,496.8206787109375,turkana,0.0,0.0,1
G5171,2003-07-14,305.40286,496.8206787109375,turkana,0.0,0.0,1
G5171,2003-07-15,422.52454,583.2999877929688,turkana,0.0,0.0,1
